015,1,0,57,6.415040969848633,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,53,6.274959564208984,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,50,2.940871238708496,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,51,19.271164894104004,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,59,7.241742849349976,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,0,61,5.736105442047119,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,56,6.266943693161011,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,52,21.358091354370117,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
030,3,0,65,7.833553791046143,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,71,12.631792306900024,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,65,12.985630512237549,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,52,19.4754056930542,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,58,5.864696264266968,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,75,3.543764114379883,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,61,22.104434490203857,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,66,21.684591054916382,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,0,68,2.6996076107025146,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,0,64,17.3303804397583,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,0,70,27.969087839126587,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,63,12.157078504562378,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,1,0,72,18.990214347839355,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,65,26.301045417785645,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,65,23.31907343864441,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,61,33.65705943107605,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,62,22.39222764968872,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,69,26.445926666259766,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,0,69,25.73751473426819,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,0,78,24.88169813156128,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,53,8.472540140151978,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,50,6.915736436843872,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,57,8.745213985443115,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,51,7.631377220153809,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,51,13.838940382003784,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,56,16.060248136520386,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,2,0,57,2.3711605072021484,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,52,10.510412454605103,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,62,4.817300319671631,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,76,6.408121347427368,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,65,9.365691423416138,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,56,9.408921003341675,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,51,19.591697931289673,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,66,21.73296356201172,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,68,11.60968804359436,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,3,0,69,11.559226512908936,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,52,22.799557209014893,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,58,7.919281244277954,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,47,21.937219858169556,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,61,20.98249053955078,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,57,22.006505012512207,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,52,20.347779273986816,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,58,23.37356734275818,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,63,28.21950936317444,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,67,17.446053504943848,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,72,18.22927236557007,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,75,19.5606791973114,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,75,18.11168336868286,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,75,10.559911966323853,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,67,14.881701707839966,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,72,18.770476579666138,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,63,34.15386652946472,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,65,40.07639980316162,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,0,75,56.19273114204407,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,75,35.2240514755249,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,58,4.696969270706177,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,53,12.681742191314697,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,1,0,47,1.7790284156799316,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,9.918137788772583,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,51,10.286399841308594,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,46,9.46165919303894,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,62,6.773573637008667,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,0,51,7.554522275924683,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,61,8.537960767745972,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,57,11.665115356445312,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,57,12.380414247512817,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,68,20.06736969947815,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
