030,3,0,58,0.9754815101623535,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,70,1.1061687469482422,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,58,0.8748888969421387,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,67,0.7785086631774902,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,68,1.071756362915039,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,72,1.5231294631958008,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,70,0.9959487915039062,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,71,2.227931022644043,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,72,1.656329870223999,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,0,73,1.730776309967041,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,70,2.0521607398986816,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,71,9.915913343429565,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,61,3.807427167892456,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,58,3.2947959899902344,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,55,0.32822537422180176,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,55,0.2776362895965576,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,50,0.7206733226776123,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,41,0.6339104175567627,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,62,0.34648942947387695,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,47,0.5712883472442627,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,51,0.43700742721557617,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,49,3.190356731414795,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,55,0.5566964149475098,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,46,0.3539464473724365,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,49,0.6169867515563965,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,46,0.5238125324249268,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,65,0.5872437953948975,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,68,0.5064373016357422,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,56,0.5253458023071289,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,60,0.58591628074646,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,0,64,3.3707947731018066,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,62,0.6204779148101807,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,68,0.49971938133239746,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
