030,4,0,60,13.719152927398682,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,68,12.256768226623535,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,73,12.292327165603638,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,68,26.436118125915527,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,63,14.614084005355835,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,71,37.761576652526855,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,71,24.550249814987183,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,50,17.907867431640625,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,52,1.0118117332458496,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,55,19.41461682319641,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,51,10.750275611877441,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,52,9.683326005935669,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,57,9.471007108688354,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,61,14.010818243026733,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,64,30.884793043136597,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,50,29.376487731933594,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,56,30.467820167541504,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,70,17.931182384490967,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,47,5.730651378631592,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,66,19.25672674179077,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,68,7.867208480834961,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,57,8.483047246932983,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,62,18.481958627700806,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,58,16.803009033203125,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,0,0,73,15.200432300567627,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,69,2.6576404571533203,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,61,22.649398803710938,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,65,3.069169759750366,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,65,1.5707027912139893,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,63,2.697073221206665,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,51,22.11919903755188,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,70,29.65300941467285,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,68,19.612927198410034,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,68,19.41601824760437,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,66,28.34399724006653,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,76,13.409936904907227,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,66,42.01363015174866,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,0,55,6.286848545074463,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,12.266473531723022,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,0,67,2.202160596847534,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,49,4.2515716552734375,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,67,14.40729022026062,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,61,17.61168384552002,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,58,16.97443413734436,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,65,16.04009747505188,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,52,17.67774510383606,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,61,14.595370292663574,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,68,1.1567680835723877,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,0,73,2.8261659145355225,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,67,7.515644311904907,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,4,0,58,13.621432304382324,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
