015,3,0,50,365.6684765815735,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}
010,2,0,55,263.43956112861633,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
010,0,0,55,259.0439877510071,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'distance'}
005,3,0,50,291.7058172225952,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
010,4,0,45,275.85858845710754,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
010,1,0,55,287.2687954902649,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
005,2,0,50,330.5030107498169,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
015,0,0,55,300.9146981239319,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}
005,1,0,50,349.09731793403625,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}
005,4,0,45,352.7997832298279,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
010,3,0,45,339.69562315940857,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
020,1,0,50,275.3748779296875,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
015,4,0,50,289.6130459308624,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
005,0,0,50,371.336403131485,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}
015,2,0,50,328.5363714694977,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
020,3,0,45,299.5066771507263,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'uniform'}
020,4,0,55,324.37861943244934,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
020,0,0,50,341.67670798301697,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}
015,3,0,55,344.6829652786255,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
015,1,0,50,378.5778796672821,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}
020,2,0,50,348.13614678382874,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'distance'}
015,1,0,65,260.32217478752136,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}
010,4,0,50,308.4798860549927,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'distance'}
005,1,0,55,337.6532311439514,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
005,3,0,40,350.1716766357422,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
015,3,0,45,311.2128555774689,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
005,2,0,50,360.30971598625183,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}
020,0,0,50,323.36843824386597,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}
015,2,0,50,338.3783051967621,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
010,1,0,50,361.6343493461609,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
005,4,0,60,370.81676030158997,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
005,0,0,55,379.8132965564728,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
015,4,0,45,357.77551794052124,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}
020,1,0,35,350.57824993133545,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
020,2,0,50,341.2518527507782,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
015,0,0,50,377.4600305557251,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}
020,3,0,50,353.7970247268677,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'uniform'}
010,3,0,40,386.0520164966583,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}
010,2,0,55,413.71469140052795,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}
020,4,0,55,364.64871287345886,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
010,0,0,50,412.8714830875397,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
010,1,0,50,260.9754087924957,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}
010,0,0,35,259.09334230422974,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
005,4,0,50,294.6224842071533,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
005,1,0,50,301.0716903209686,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
005,2,0,60,311.0447461605072,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}
020,2,0,50,234.70136880874634,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'uniform'}
010,2,0,55,310.2141115665436,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
005,0,0,45,366.61681151390076,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}
020,1,0,50,295.944744348526,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 28, 'weights': 'distance'}
010,3,0,50,350.965247631073,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
015,0,0,45,328.7390742301941,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
015,2,0,50,323.82493686676025,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
015,1,0,60,324.47332978248596,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
020,3,0,55,311.18695974349976,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
015,3,0,55,333.0268633365631,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}
020,0,0,35,323.5494735240936,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
010,4,0,50,367.0532386302948,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}
005,3,0,45,419.7308213710785,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}
020,4,0,50,313.7252049446106,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}
015,4,0,60,349.90922355651855,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
005,2,0,45,252.38179302215576,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
005,0,0,50,276.49613666534424,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
015,3,0,60,239.32822704315186,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}
010,2,0,55,260.5386028289795,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
020,1,0,60,230.07293391227722,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'distance'}
015,2,0,55,263.8534188270569,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}
005,3,0,45,319.9465537071228,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
005,4,0,55,334.84107303619385,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
020,3,0,55,246.42973494529724,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 18, 'weights': 'uniform'}
010,1,0,40,331.5868275165558,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
015,0,0,50,300.49846839904785,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}
010,4,0,65,325.9281425476074,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}
015,4,0,40,321.68302154541016,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}
005,1,0,60,366.53962779045105,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
020,2,0,45,267.13388442993164,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
015,1,0,45,315.32534980773926,{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 21, 'weights': 'uniform'}
020,0,0,45,287.6868984699249,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 28, 'weights': 'distance'}
010,3,0,50,345.37944984436035,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
010,0,0,50,358.38344073295593,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
020,4,0,50,281.2141935825348,{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
