020,0,8000,69,0.6741464138031006,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,8000,70,0.6780741214752197,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,8000,73,0.7475125789642334,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,8000,70,0.7285819053649902,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,8000,70,0.7212669849395752,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,8000,73,0.8605749607086182,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,8000,72,0.9153475761413574,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,8000,73,0.9117107391357422,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
030,3,8000,76,0.8795428276062012,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,72,0.8909788131713867,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,8000,73,1.5591208934783936,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,74,1.5691068172454834,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,2,8000,76,1.5977401733398438,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,8000,76,1.5751523971557617,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,4,8000,75,1.5616450309753418,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,78,2.7487800121307373,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,74,3.020984411239624,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
100,2,8000,78,2.683018445968628,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,73,2.754079580307007,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,8000,75,2.741950511932373,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,8000,62,0.49846839904785156,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,8000,66,0.502683162689209,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,8000,64,0.5155088901519775,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,8000,68,0.48250532150268555,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,8000,61,0.4982430934906006,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,8000,66,0.5975940227508545,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,8000,68,0.5787487030029297,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,72,0.5444509983062744,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,8000,68,0.5558059215545654,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,69,0.554213285446167,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,8000,73,0.653937578201294,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,8000,70,0.7007167339324951,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,8000,72,0.6263577938079834,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,8000,72,0.691817045211792,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,8000,68,0.6958234310150146,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,8000,67,0.7182989120483398,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,8000,70,0.6940159797668457,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,8000,75,0.735478401184082,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,70,0.8024864196777344,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,8000,72,0.7859282493591309,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,8000,73,0.8623428344726562,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,8000,74,0.980973482131958,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,8000,73,0.9174900054931641,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,8000,76,0.9604179859161377,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,72,0.8918337821960449,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,72,1.715954303741455,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,75,1.579637050628662,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,75,1.6120102405548096,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,8000,73,1.584134578704834,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
060,4,8000,75,1.5739974975585938,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,78,2.748497247695923,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,75,2.7955849170684814,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,8000,78,2.686075210571289,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,76,2.7978527545928955,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,8000,76,2.7761964797973633,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,8000,61,0.5373523235321045,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,8000,66,0.5426616668701172,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,8000,64,0.5624194145202637,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,8000,69,0.5273177623748779,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,8000,61,0.533879280090332,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,8000,66,0.642974853515625,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,8000,68,0.6305949687957764,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,72,0.5758976936340332,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,8000,68,0.5942614078521729,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,60,0.6094779968261719,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,8000,74,0.6308326721191406,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,8000,70,0.6559298038482666,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,8000,72,0.6894650459289551,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,8000,72,0.6995241641998291,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,8000,65,0.704613208770752,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,70,0.6811227798461914,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
020,1,8000,70,0.7497763633728027,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,8000,70,0.7420220375061035,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
020,3,8000,70,0.7475707530975342,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,8000,72,0.7504160404205322,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,8000,73,0.9485094547271729,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,8000,70,0.9819164276123047,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,8000,73,0.987687349319458,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,8000,76,0.9661355018615723,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,73,0.969639778137207,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
060,0,8000,74,1.73427152633667,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
