015,3,0,65,0.2332749366760254,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,68,0.23399662971496582,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,58,0.25972771644592285,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,1,0,60,0.25878477096557617,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,63,0.2604703903198242,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,68,0.2597510814666748,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,63,0.261491060256958,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,0,52,0.33270716667175293,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,1,0,72,0.3253633975982666,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,66,0.3325996398925781,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,52,0.3300971984863281,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,0,74,0.33127808570861816,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,67,0.6007490158081055,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,67,0.6042091846466064,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,70,0.590184211730957,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,69,0.6013796329498291,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,4,0,69,0.5874559879302979,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,70,0.9297494888305664,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,71,0.9267067909240723,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,71,0.9403262138366699,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,70,0.9283387660980225,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,4,0,71,0.9321839809417725,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,62,0.20632243156433105,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,59,0.20807504653930664,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,56,0.20603489875793457,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,54,0.20670175552368164,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,66,0.20566916465759277,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,52,0.22922396659851074,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
